Any,zona,dat,via,pk,nomMun,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_VICTIMES,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,F_CICLOMOTORS_IMPLICADES,F_MOTOCICLETES_IMPLICADES,F_VEH_LLEUGERS_IMPLICADES,F_VEH_PESANTS_IMPLICADES,F_ALTRES_UNIT_IMPLICADES,F_UNIT_DESC_IMPLICADES,C_VELOCITAT_VIA,D_ACC_AMB_FUGA,D_BOIRA,D_CARACT_ENTORN,D_CARRIL_ESPECIAL,D_CIRCULACIO_MESURES_ESP,D_CLIMATOLOGIA,D_FUNC_ESP_VIA,D_GRAVETAT,D_INFLUIT_BOIRA,D_INFLUIT_CARACT_ENTORN,D_INFLUIT_CIRCULACIO,D_INFLUIT_ESTAT_CLIMA,D_INFLUIT_INTEN_VENT,D_INFLUIT_LLUMINOSITAT,D_INFLUIT_MESU_ESP,D_INFLUIT_OBJ_CALCADA,D_INFLUIT_SOLCS_RASES,D_INFLUIT_VISIBILITAT,D_INTER_SECCIO,D_LIMIT_VELOCITAT,D_LLUMINOSITAT,D_REGULACIO_PRIORITAT,D_SENTITS_VIA,D_SUBTIPUS_ACCIDENT,D_SUBTIPUS_TRAM,D_SUBZONA,D_SUPERFICIE,D_TIPUS_VIA,D_TITULARITAT_VIA,D_TRACAT_ALTIMETRIC,D_VENT,grupDiaLab,hor,grupHor,tipAcc,tipDia
2022,"Zona urbana",2022-08-08,"SE","999999","CASTELLO D'EMPURIES","Alt Emporda","Girona",0,1,0,1,2,0,0,0,1,0,0,1,0,"100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","Arribant o eixint intersecció fins 50m","Genérica via","De dia, dia clar","NA","Doble sentit","Fregament o col·lisió lateral","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","Municipal","Pla","Calma, vent molt suau","Feiners",15.0,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
2022,"Carretera",2022-10-03,"AP-7","161,3","PAPIOL, EL","Baix Llobregat","Barcelona",0,1,0,1,3,0,0,0,1,1,1,0,0,"100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","Un sol sentit","Fregament o col·lisió lateral","NA","Carretera","Sec i net","Carretera convencional","Estatal","Pla","Calma, vent molt suau","Feiners",18.5,"Tarda","Col.lisió de vehicles en marxa","dill-dij"
2022,"Carretera",2022-05-27,"C-33","88,5","MOLLET DEL VALLES","Valles Oriental","Barcelona",1,0,0,1,2,0,0,0,1,0,1,0,0,"100","No","No n'hi ha","Sense Especificar","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","NA","Encalç","NA","Carretera","Sec i net","Carretera convencional","NA","NA","Calma, vent molt suau","Feiners",10.32,"Matí","Col.lisió de vehicles en marxa","div"
2022,"Carretera",2022-10-16,"C-35","45,5","LLINARS DEL VALLES","Valles Oriental","Barcelona",0,1,1,2,2,0,0,0,1,1,0,0,0,"999","No","No n'hi ha","Sense Especificar","NA","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","NA","Fregament o col·lisió lateral","NA","Carretera","Sec i net","Carretera convencional","Altres","Sense especificar","Calma, vent molt suau","CapDeSetmana",11.57,"Matí","Col.lisió de vehicles en marxa","dg"
2022,"Zona urbana",2022-03-27,"SE","999999","TERRASSA","Valles Occidental","Barcelona",0,1,0,1,2,0,0,0,1,1,0,0,0,"100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","Si","No","No","No","No","No","No","No","Si","Dintre intersecció","Genérica via","De dia, dia fosc","Semàfor","Doble sentit","Envestida (frontal lateral)","Encreuament o intersecció en X o +","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","Autonòmica","Rampa o pendent","Calma, vent molt suau","CapDeSetmana",17.4,"Tarda","Col.lisió de vehicles en marxa","dg"
2022,"Zona urbana",2022-09-23,"SE","999999","PALAU DE PLEGAMANS","Valles Occidental","Barcelona",0,1,0,1,2,1,0,0,0,1,0,0,0,"100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","Alba o capvespre","NA","Doble sentit","Atropellament","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",8.4,"Matí","Atropellament","div"
2022,"Carretera",2022-05-05,"N-240","21,4","VALLS","Alt Camp","Tarragona",1,0,0,1,2,0,0,0,1,0,1,0,0,"100","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident mortal","No","No","No","No","No","No","No","No","No","No","Dintre intersecció","Genérica via","De dia, dia clar","Sols norma prioritat de pas","Doble sentit","Altres","Intersecció en T o Y","Carretera","Sec i net","Carretera convencional","Estatal","Pla","Calma, vent molt suau","Feiners",13.09,"Matí","Altres","dill-dij"
2022,"Carretera",2022-03-27,"C-153a","82,5","SANT PAU DE SEGURIES","Ripolles","Girona",0,1,0,1,1,0,1,0,0,0,0,0,0,"999","No","No n'hi ha","Sense Especificar","NA","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Genérica via","De dia, dia clar","NA","NA","Altres","NA","Carretera","Sec i net","Carretera convencional","Altres","Sense especificar","Calma, vent molt suau","CapDeSetmana",12.46,"Matí","Altres","dg"
2022,"Zona urbana",2022-08-10,"SE","999999","CALAFELL","Baix Penedes","Tarragona",0,1,0,1,2,1,1,0,0,0,0,0,0,"30","No","No n'hi ha","A nivell","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","Si","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar","NA","Doble sentit","Atropellament","NA","Zona urbana","Sec i net","Via urbana( inclou carrer i carrer residencial)","NA","NA","Calma, vent molt suau","Feiners",8.23,"Matí","Atropellament","dill-dij"
2022,"Carretera",2022-05-16,"N-260","165,5","ALP","Cerdanya","Girona",0,1,0,1,1,0,0,0,1,0,0,0,0,"60","No","No n'hi ha","Mixt","No n'hi ha","No n'hi ha","Bon temps","Sense funció especial","Accident greu","No","No","No","No","No","No","No","No","No","No","En secció","Senyal velocitat","De dia, dia clar","NA","Doble sentit","Caiguda en la via","NA","Carretera","Sec i net","Carretera convencional","Estatal","Pla","Calma, vent molt suau","Feiners",15.09,"Tarda","Bolcada a la calcada","dill-dij"
